PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
b   0	13	1	14	79	0	0	0	58  5
c   0	dc01	0	0	81	14	1	14	79  0
d   0	13	1	0	7a	1	0	0	81  14
e   0	dc02	0	0	82	0	1	0	7a  1
f   0	13	1	1	7b	2	0	0	82  0
88   0	dc03	0	0	83	1	1	1	7b  2
89   0	13	1	2	7c	e1e	0	0	83  1
8a   0	dc04	0	0	84	2	1	2	7c  e1e
8b   0	13	1	e1e	7d	0	0	0	84  2
8c   0	dc05	0	0	85	e1e	1	e1e	7d  0
8d   0	d800	1	1	80	1	0	0	85  e1e
8e   0	d801	2	14	81	14	1	1	80  1
8f   0	d802	3	0	82	0	2	14	81  14
90   0	c	4	1	82	0	3	0	82  0
9d   0	c03d	3	0	9d	dc07	4	1	82  0
9e   0	dc07	2	14	87	0	3	0	9d  dc07
9f   0	dc08	1	1	8	14	2	14	87  0
a0   0	d807	2	0	87	0	1	1	8  14
a1   0	d808	3	14	8	14	2	0	87  0
91   0	bc19	3	14	91	dc02	3	14	8  14
92   0	dc02	2	0	82	14	3	14	91  dc02
93   0	dc01	1	1	81	0	2	0	82  14
94   0	d802	2	14	82	14	1	1	81  0
95   0	d803	3	1	83	1	2	14	82  14
96   0	c	4	1	83	1	3	1	83  1
a2   0	c042	3	1	a2	dc07	4	1	83  1
a3   0	dc07	2	14	87	1	3	1	a2  dc07
a4   0	dc08	1	1	8	14	2	14	87  1
a5   0	d807	2	1	87	1	1	1	8  14
a6   0	d808	3	14	8	14	2	1	87  1
97   0	bc1f	3	14	97	dc03	3	14	8  14
a8   0	dc03	2	1	83	14	3	14	97  dc03
a9   0	dc02	1	1	82	1	2	1	83  14
aa   0	d803	2	14	83	14	1	1	82  1
ab   0	d804	3	2	84	2	2	14	83  14
ac   0	c	4	1	84	2	3	2	84  2
a7   0	c047	3	2	a7	dc07	4	1	84  2
b0   0	dc07	2	14	87	2	3	2	a7  dc07
b1   0	dc08	1	1	8	14	2	14	87  2
b2   0	d807	2	2	87	2	1	1	8  14
b3   0	d808	3	14	8	14	2	2	87  2
ad   0	bc25	3	14	ad	dc04	3	14	8  14
ae   0	dc04	2	2	84	14	3	14	ad  dc04
af   0	dc03	1	1	83	2	2	2	84  14
b8   0	d804	2	14	84	14	1	1	83  2
b9   0	d805	3	e1e	85	e1e	2	14	84  14
ba   0	c	4	0	85	e1e	3	e1e	85  e1e
bb   0	c04c	3	e1e	b4	dc07	4	0	85  e1e
bc   0	dc05	2	14	85	e1e	3	e1e	b4  dc07
bd   0	dc04	1	1	84	14	2	14	85  e1e
be   0	9409	1	2	9	1	1	1	84  14
bf   0	dc09	0	0	9	2	1	2	9  1
c0   0	d809	1	2	9	2	0	0	9  2
c1   0	b006	2	0	86	10	1	2	9  2
8d   0	c415	1	2	8d	d801	2	0	86  10
8e   0	d801	2	0	81	0	1	2	8d  d801
8f   0	d802	3	1	82	1	2	0	81  0
90   0	c	4	0	82	1	3	1	82  1
91   0	c03d	3	1	9d	dc07	4	0	82  1
92   0	dc02	2	0	82	1	3	1	9d  dc07
93   0	dc01	1	2	81	0	2	0	82  1
94   0	d802	2	1	82	1	1	2	81  0
95   0	d803	3	2	83	2	2	1	82  1
96   0	c	4	0	83	2	3	2	83  2
97   0	c042	3	2	a2	dc07	4	0	83  2
a8   0	dc03	2	1	83	2	3	2	a2  dc07
a9   0	dc02	1	2	82	1	2	1	83  2
aa   0	d803	2	2	83	2	1	2	82  1
ab   0	d804	3	14	84	14	2	2	83  2
ac   0	c	4	0	84	14	3	14	84  14
ad   0	c047	3	14	a7	dc07	4	0	84  14
ae   0	dc04	2	2	84	14	3	14	a7  dc07
af   0	dc03	1	2	83	2	2	2	84  14
b8   0	d804	2	14	84	14	1	2	83  2
b9   0	d805	3	e1e	85	e1e	2	14	84  14
ba   0	c	4	0	85	e1e	3	e1e	85  e1e
bb   0	c04c	3	e1e	b4	dc07	4	0	85  e1e
bc   0	dc05	2	14	85	e1e	3	e1e	b4  dc07
bd   0	dc04	1	2	84	14	2	14	85  e1e
be   0	9409	1	4	9	2	1	2	84  14
bf   0	dc09	0	0	9	4	1	4	9  2
c0   0	d809	1	4	9	4	0	0	9  4
c1   0	b006	2	0	86	10	1	4	9  4
8d   0	c415	1	4	8d	d801	2	0	86  10
8e   0	d801	2	0	81	0	1	4	8d  d801
8f   0	d802	3	1	82	1	2	0	81  0
90   0	c	4	0	82	1	3	1	82  1
91   0	c03d	3	1	9d	dc07	4	0	82  1
