PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
9   0	13	1	13	61	0	0	0	4c  1
a   0	dc12	0	0	6a	13	1	13	61  0
b   0	d816	1	10	6e	10	0	0	6a  13
c   0	b813	2	0	6b	0	1	10	6e  10
d   0	c011	1	10	69	18	2	0	6b  0
e   0	9814	1	f	6c	1	1	10	69  18
f   0	dc16	0	0	6e	f	1	f	6c  1
70   0	d812	1	13	6a	13	0	0	6e  f
71   0	a415	1	1	6d	2	1	13	6a  13
72   0	dc17	0	0	6f	1	1	1	6d  2
73   0	d817	1	1	6f	1	0	0	6f  1
74   0	9c17	1	1	6f	1	1	1	6f  1
PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
76   0	d812	1	13	6a	13	0	0	20  3
77   0	b	1	13	6a	13	1	13	6a  13
68   0	dc12	0	0	6a	13	1	13	6a  13
a   0	bc02	0	0	a	d816	0	0	6a  13
b   0	d816	1	f	6e	f	0	0	a  d816
c   0	b813	2	0	6b	0	1	f	6e  f
d   0	c011	1	f	69	18	2	0	6b  0
e   0	9814	1	e	6c	1	1	f	69  18
f   0	dc16	0	0	6e	e	1	e	6c  1
70   0	d812	1	13	6a	13	0	0	6e  e
71   0	a415	1	1	6d	2	1	13	6a  13
72   0	dc17	0	0	6f	1	1	1	6d  2
73   0	d817	1	1	6f	1	0	0	6f  1
74   0	9c17	1	1	6f	1	1	1	6f  1
PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
76   0	d812	1	13	6a	13	0	0	20  3
77   0	b	1	13	6a	13	1	13	6a  13
68   0	dc12	0	0	6a	13	1	13	6a  13
a   0	bc02	0	0	a	d816	0	0	6a  13
b   0	d816	1	e	6e	e	0	0	a  d816
c   0	b813	2	0	6b	0	1	e	6e  e
d   0	c011	1	e	69	18	2	0	6b  0
e   0	9814	1	d	6c	1	1	e	69  18
f   0	dc16	0	0	6e	d	1	d	6c  1
70   0	d812	1	13	6a	13	0	0	6e  d
71   0	a415	1	1	6d	2	1	13	6a  13
72   0	dc17	0	0	6f	1	1	1	6d  2
73   0	d817	1	1	6f	1	0	0	6f  1
74   0	9c17	1	1	6f	1	1	1	6f  1
PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
76   0	d812	1	13	6a	13	0	0	60  13
77   0	b	1	13	6a	13	1	13	6a  13
68   0	dc12	0	0	6a	13	1	13	6a  13
a   0	bc02	0	0	a	d816	0	0	6a  13
b   0	d816	1	d	6e	d	0	0	a  d816
c   0	b813	2	0	6b	0	1	d	6e  d
d   0	c011	1	d	69	18	2	0	6b  0
e   0	9814	1	c	6c	1	1	d	69  18
