PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
3   0	13	1	173	d9	0	0	0	8a  fffe
4   0	dc30	0	0	e0	173	1	173	d9  0
5   0	d830	1	173	e0	173	0	0	e0  173
6   0	dc31	0	0	e1	173	1	173	e0  173
7   0	d831	1	173	e1	173	0	0	e1  173
e8   0	dc35	0	0	e5	173	1	173	e1  173
e9   0	d830	1	173	e0	173	0	0	e5  173
ea   0	b022	2	1	f2	0	1	173	e0  173
eb   0	c41c	1	173	fc	dc35	2	1	f2  0
ec   0	a429	1	1	f9	a	1	173	fc  dc35
ed   0	dc32	0	0	e2	1	1	1	f9  a
ee   0	d832	1	1	e2	1	0	0	e2  1
ef   0	d832	2	1	e2	1	1	1	e2  1
f8   0	7	1	1	e2	1	2	1	e2  1
f9   0	d832	2	1	e2	1	1	1	e2  1
fa   0	7	1	1	e2	1	2	1	e2  1
fb   0	9423	1	1	f3	0	1	1	e2  1
fc   0	dc23	0	0	f3	1	1	1	f3  0
fd   0	d830	1	173	e0	173	0	0	f3  1
fe   0	a029	1	35	f9	7	1	173	e0  173
ff   0	dc30	0	0	e0	35	1	35	f9  7
7   0	c807	1	100	7	dc35	0	0	e0  35
e8   0	dc35	0	0	e5	100	1	100	7  dc35
e9   0	d830	1	35	e0	35	0	0	e5  100
ea   0	b022	2	1	f2	0	1	35	e0  35
eb   0	c41c	1	35	fc	d830	2	1	f2  0
ec   0	a429	1	4	f9	7	1	35	fc  d830
ed   0	dc32	0	0	e2	4	1	4	f9  7
ee   0	d832	1	4	e2	4	0	0	e2  4
ef   0	d832	2	4	e2	4	1	4	e2  4
f8   0	7	1	10	e2	4	2	4	e2  4
f9   0	d832	2	4	e2	4	1	10	e2  4
fa   0	7	1	40	e2	4	2	4	e2  4
fb   0	9423	1	41	f3	1	1	40	e2  4
fc   0	dc23	0	0	f3	41	1	41	f3  1
fd   0	d830	1	35	e0	35	0	0	f3  41
fe   0	a029	1	7	f9	7	1	35	e0  35
ff   0	dc30	0	0	e0	7	1	7	f9  7
7   0	c807	1	100	7	dc35	0	0	e0  7
e8   0	dc35	0	0	e5	100	1	100	7  dc35
e9   0	d830	1	7	e0	7	0	0	e5  100
ea   0	b022	2	1	f2	0	1	7	e0  7
eb   0	c41c	1	7	fc	d830	2	1	f2  0
ec   0	a429	1	0	f9	7	1	7	fc  d830
ed   0	dc32	0	0	e2	0	1	0	f9  7
ee   0	d832	1	0	e2	0	0	0	e2  0
ef   0	d832	2	0	e2	0	1	0	e2  0
f8   0	7	1	0	e2	0	2	0	e2  0
f9   0	d832	2	0	e2	0	1	0	e2  0
fa   0	7	1	0	e2	0	2	0	e2  0
fb   0	9423	1	41	f3	41	1	0	e2  0
fc   0	dc23	0	0	f3	41	1	41	f3  41
fd   0	d830	1	7	e0	7	0	0	f3  41
fe   0	a029	1	1	f9	7	1	7	e0  7
ff   0	dc30	0	0	e0	1	1	1	f9  7
7   0	c807	1	100	7	dc35	0	0	e0  1
e8   0	dc35	0	0	e5	100	1	100	7  dc35
e9   0	d830	1	1	e0	1	0	0	e5  100
ea   0	b022	2	1	f2	0	1	1	e0  1
eb   0	c41c	1	1	fc	d830	2	1	f2  0
ec   0	a429	1	1	f9	7	1	1	fc  d830
ed   0	dc32	0	0	e2	1	1	1	f9  7
ee   0	d832	1	1	e2	1	0	0	e2  1
ef   0	d832	2	1	e2	1	1	1	e2  1
f8   0	7	1	1	e2	1	2	1	e2  1
f9   0	d832	2	1	e2	1	1	1	e2  1
fa   0	7	1	1	e2	1	2	1	e2  1
fb   0	9423	1	42	f3	41	1	1	e2  1
fc   0	dc23	0	0	f3	42	1	42	f3  41
fd   0	d830	1	1	e0	1	0	0	f3  42
fe   0	a029	1	0	f9	7	1	1	e0  1
ff   0	dc30	0	0	e0	0	1	0	f9  7
7   0	c807	1	100	7	dc35	0	0	e0  0
e8   0	dc35	0	0	e5	100	1	100	7  dc35
e9   0	d830	1	0	e0	0	0	0	e5  100
ea   0	b022	2	0	f2	0	1	0	e0  0
fc   0	c41c	1	0	fc	d830	2	0	f2  0
fd   0	d830	2	0	e0	0	1	0	fc  d830
fe   0	a029	2	0	f9	7	2	0	e0  0
ff   0	dc30	1	0	e0	0	2	0	f9  7
7   0	c807	2	100	7	dc35	1	0	e0  0
e8   0	dc35	1	0	e5	100	2	100	7  dc35
e9   0	d830	2	0	e0	0	1	0	e5  100
ea   0	b022	3	0	f2	0	2	0	e0  0
