PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
1d   0	1313	2	2	22	e1	0	0	59  0
1e   0	0	2	2	22	e1	2	2	22  e1
1f   0	dc2c	1	4	2c	2	2	2	22  e1
30   0	dc2b	0	0	2b	4	1	4	2c  2
31   0	0	0	0	2b	4	0	0	2b  4
32   0	0	0	0	2b	4	0	0	2b  4
33   0	d82b	1	4	2b	4	0	0	2b  4
34   0	982c	1	2	2c	2	1	4	2b  4
35   0	dc2d	0	0	2d	2	1	2	2c  2
3f   0	c837	1	36	3f	d82b	0	0	2d  2
40   0	d82b	2	4	2b	4	1	36	3f  d82b
41   0	d82b	3	4	2b	4	2	4	2b  4
48   0	bc40	3	4	48	dc2f	3	4	2b  4
49   0	dc2f	2	4	2f	4	3	4	48  dc2f
4a   0	d82f	3	4	2f	4	2	4	2f  4
4b   0	b82e	4	0	2e	1	3	4	2f  4
4c   0	c047	3	4	4f	dc2f	4	0	2e  1
4d   0	b833	4	0	3b	0	3	4	4f  dc2f
4e   0	c04a	3	4	52	dc2f	4	0	3b  0
1a   0	bc0a	3	4	1a	d82e	3	4	52  dc2f
1b   0	d82e	4	1	2e	1	3	4	1a  d82e
58   0	bc00	4	1	58	6	4	1	2e  1
59   0	6	3	3	58	6	4	1	58  6
5a   0	dc2f	2	4	2f	3	3	3	58  6
5b   0	d82f	3	3	2f	3	2	4	2f  3
5c   0	7	2	c	2f	3	3	3	2f  3
5d   0	d82f	3	3	2f	3	2	c	2f  3
5e   0	b82e	4	0	2e	1	3	3	2f  3
1a   0	c40a	3	3	1a	d82e	4	0	2e  1
1b   0	d82e	4	1	2e	1	3	3	1a  d82e
58   0	bc00	4	1	58	6	4	1	2e  1
59   0	6	3	2	58	6	4	1	58  6
5a   0	dc2f	2	c	2f	2	3	2	58  6
5b   0	d82f	3	2	2f	2	2	c	2f  2
5c   0	7	2	18	2f	2	3	2	2f  2
5d   0	d82f	3	2	2f	2	2	18	2f  2
5e   0	b82e	4	0	2e	1	3	2	2f  2
1a   0	c40a	3	2	1a	d82e	4	0	2e  1
1b   0	d82e	4	1	2e	1	3	2	1a  d82e
58   0	bc00	4	1	58	6	4	1	2e  1
59   0	6	3	1	58	6	4	1	58  6
5a   0	dc2f	2	18	2f	1	3	1	58  6
5b   0	d82f	3	1	2f	1	2	18	2f  1
5c   0	7	2	18	2f	1	3	1	2f  1
5d   0	d82f	3	1	2f	1	2	18	2f  1
5e   0	b82e	4	1	2e	1	3	1	2f  1
5f   0	c40a	3	1	1a	d82e	4	1	2e  1
18   0	dc2e	2	18	2e	1	3	1	1a  d82e
19   0	dc2f	1	36	2f	18	2	18	2e  1
36   0	1500	0	0	2f	18	1	36	2f  18
37   0	0	0	0	2f	18	0	0	2f  18
60   0	0	0	0	2f	18	0	0	2f  18
61   0	0	0	0	2f	18	0	0	2f  18
62   0	d82f	1	18	2f	18	0	0	2f  18
63   0	dc30	0	0	38	18	1	18	2f  18
42   0	c83a	1	64	42	d82c	0	0	38  18
43   0	d82c	2	2	2c	2	1	64	42  d82c
44   0	d82c	3	2	2c	2	2	2	2c  2
48   0	bc40	3	2	48	dc2f	3	2	2c  2
49   0	dc2f	2	2	2f	2	3	2	48  dc2f
4a   0	d82f	3	2	2f	2	2	2	2f  2
4b   0	b82e	4	0	2e	1	3	2	2f  2
4c   0	c047	3	2	4f	dc2f	4	0	2e  1
4d   0	b833	4	0	3b	0	3	2	4f  dc2f
4e   0	c04a	3	2	52	dc2f	4	0	3b  0
1a   0	bc0a	3	2	1a	d82e	3	2	52  dc2f
1b   0	d82e	4	1	2e	1	3	2	1a  d82e
58   0	bc00	4	1	58	6	4	1	2e  1
59   0	6	3	1	58	6	4	1	58  6
5a   0	dc2f	2	2	2f	1	3	1	58  6
5b   0	d82f	3	1	2f	1	2	2	2f  1
5c   0	7	2	2	2f	1	3	1	2f  1
5d   0	d82f	3	1	2f	1	2	2	2f  1
5e   0	b82e	4	1	2e	1	3	1	2f  1
5f   0	c40a	3	1	1a	d82e	4	1	2e  1
18   0	dc2e	2	2	2e	1	3	1	1a  d82e
19   0	dc2f	1	64	2f	2	2	2	2e  1
64   0	1500	0	0	2f	2	1	64	2f  2
65   0	0	0	0	2f	2	0	0	2f  2
66   0	0	0	0	2f	2	0	0	2f  2
67   0	0	0	0	2f	2	0	0	2f  2
68   0	d82f	1	2	2f	2	0	0	2f  2
69   0	dc31	0	0	39	2	1	2	2f  2
45   0	c83d	1	6a	45	d82d	0	0	39  2
46   0	d82d	2	2	2d	2	1	6a	45  d82d
47   0	d82d	3	2	2d	2	2	2	2d  2
48   0	bc40	3	2	48	dc2f	3	2	2d  2
49   0	dc2f	2	2	2f	2	3	2	48  dc2f
4a   0	d82f	3	2	2f	2	2	2	2f  2
4b   0	b82e	4	0	2e	1	3	2	2f  2
4c   0	c047	3	2	4f	dc2f	4	0	2e  1
4d   0	b833	4	0	3b	0	3	2	4f  dc2f
4e   0	c04a	3	2	52	dc2f	4	0	3b  0
1a   0	bc0a	3	2	1a	d82e	3	2	52  dc2f
1b   0	d82e	4	1	2e	1	3	2	1a  d82e
58   0	bc00	4	1	58	6	4	1	2e  1
59   0	6	3	1	58	6	4	1	58  6
5a   0	dc2f	2	2	2f	1	3	1	58  6
5b   0	d82f	3	1	2f	1	2	2	2f  1
5c   0	7	2	2	2f	1	3	1	2f  1
5d   0	d82f	3	1	2f	1	2	2	2f  1
5e   0	b82e	4	1	2e	1	3	1	2f  1
5f   0	c40a	3	1	1a	d82e	4	1	2e  1
18   0	dc2e	2	2	2e	1	3	1	1a  d82e
19   0	dc2f	1	6a	2f	2	2	2	2e  1
6a   0	1500	0	0	2f	2	1	6a	2f  2
6b   0	d82f	1	2	2f	2	0	0	2f  2
6c   0	0	1	2	2f	2	1	2	2f  2
6d   0	0	1	2	2f	2	1	2	2f  2
6e   0	0	1	2	2f	2	1	2	2f  2
6f   0	9c31	1	4	39	2	1	2	2f  2
28   0	dc33	0	0	3b	4	1	4	39  2
29   0	d830	1	18	38	18	0	0	3b  4
2a   0	a033	1	6	3b	4	1	18	38  18
