PC  BR  IR  TOS(BE) S[TOS]BE EA(BE) (EA)BE TOS(AE) S[TOS]AE EA(AE)(EA)AE
HEX HEX  HEX   HEX    HEX      HEX    HEX     HEX     HEX      HEX  HEX
1   0	13	1	7	91	3	0	0	5a  20
2   0	dc13	0	0	9b	7	1	7	91  3
3   0	d811	1	0	99	0	0	0	9b  7
4   0	dc11	0	0	99	0	1	0	99  0
5   0	13	1	3	92	b	0	0	99  0
6   0	9410	1	3	98	0	1	3	92  b
7   0	dc10	0	0	98	3	1	3	98  0
a0   0	d811	1	0	99	0	0	0	98  3
a1   0	9412	1	1	9a	1	1	0	99  0
a2   0	dc11	0	0	99	1	1	1	9a  1
a3   0	d811	1	1	99	1	0	0	99  1
a4   0	b413	2	1	9b	7	1	1	99  1
3   0	c003	1	1	3	dc11	2	1	9b  7
4   0	dc11	0	0	99	1	1	1	3  dc11
5   0	13	1	b	93	a	0	0	99  1
6   0	9410	1	e	98	3	1	b	93  a
7   0	dc10	0	0	98	e	1	e	98  3
a0   0	d811	1	1	99	1	0	0	98  e
a1   0	9412	1	2	9a	1	1	1	99  1
a2   0	dc11	0	0	99	2	1	2	9a  1
a3   0	d811	1	2	99	2	0	0	99  2
a4   0	b413	2	1	9b	7	1	2	99  2
3   0	c003	1	2	3	dc11	2	1	9b  7
4   0	dc11	0	0	99	2	1	2	3  dc11
5   0	13	1	a	94	1	0	0	99  2
6   0	9410	1	18	98	e	1	a	94  1
7   0	dc10	0	0	98	18	1	18	98  e
a0   0	d811	1	2	99	2	0	0	98  18
a1   0	9412	1	3	9a	1	1	2	99  2
a2   0	dc11	0	0	99	3	1	3	9a  1
a3   0	d811	1	3	99	3	0	0	99  3
a4   0	b413	2	1	9b	7	1	3	99  3
3   0	c003	1	3	3	dc11	2	1	9b  7
4   0	dc11	0	0	99	3	1	3	3  dc11
5   0	13	1	1	95	10	0	0	99  3
6   0	9410	1	19	98	18	1	1	95  10
7   0	dc10	0	0	98	19	1	19	98  18
a0   0	d811	1	3	99	3	0	0	98  19
a1   0	9412	1	4	9a	1	1	3	99  3
a2   0	dc11	0	0	99	4	1	4	9a  1
a3   0	d811	1	4	99	4	0	0	99  4
a4   0	b413	2	1	9b	7	1	4	99  4
3   0	c003	1	4	3	dc11	2	1	9b  7
4   0	dc11	0	0	99	4	1	4	3  dc11
5   0	13	1	10	96	9	0	0	99  4
6   0	9410	1	29	98	19	1	10	96  9
7   0	dc10	0	0	98	29	1	29	98  19
a0   0	d811	1	4	99	4	0	0	98  29
a1   0	9412	1	5	9a	1	1	4	99  4
a2   0	dc11	0	0	99	5	1	5	9a  1
a3   0	d811	1	5	99	5	0	0	99  5
a4   0	b413	2	1	9b	7	1	5	99  5
3   0	c003	1	5	3	dc11	2	1	9b  7
4   0	dc11	0	0	99	5	1	5	3  dc11
5   0	13	1	9	97	90	0	0	99  5
6   0	9410	1	32	98	29	1	9	97  90
7   0	dc10	0	0	98	32	1	32	98  29
a0   0	d811	1	5	99	5	0	0	98  32
a1   0	9412	1	6	9a	1	1	5	99  5
a2   0	dc11	0	0	99	6	1	6	9a  1
a3   0	d811	1	6	99	6	0	0	99  6
a4   0	b413	2	1	9b	7	1	6	99  6
3   0	c003	1	6	3	dc11	2	1	9b  7
4   0	dc11	0	0	99	6	1	6	3  dc11
5   0	13	1	90	98	32	0	0	99  6
6   0	9410	1	c2	98	32	1	90	98  32
7   0	dc10	0	0	98	c2	1	c2	98  32
a0   0	d811	1	6	99	6	0	0	98  c2
a1   0	9412	1	7	9a	1	1	6	99  6
a2   0	dc11	0	0	99	7	1	7	9a  1
a3   0	d811	1	7	99	7	0	0	99  7
a4   0	b413	2	0	9b	7	1	7	99  7
a5   0	c003	1	7	3	dc11	2	0	9b  7
a6   0	d810	2	c2	98	c2	1	7	3  dc11
a7   0	a011	2	1b	99	7	2	c2	98  c2
